	dir	ns	predicate	expanded	description
198	fpf	fpf	anonymous-data	Anonymous data	Direct and indirect identifiers have en removed or manipulated together with mathematical and technical guarantees to prevent re-identification.
199	honeypot-basic	honeypot-basic	interaction-level	Interaction Level	Describes whether the exposed functionality of a honeypot is limited in some way, which is usually the case for honeypots that simulate services.
200	honeypot-basic	honeypot-basic	data-capture	Data Capture	Describes the type of data a honeypot is able to capture
201	honeypot-basic	honeypot-basic	containment	Containment	Classifies the measures a honeypot takes to defend against malicious activity spreading from itself.
202	honeypot-basic	honeypot-basic	distribution-appearance	Distribution Appearance	Describes whether the honeypot system appears to be confined to one system or multiple systems.
203	honeypot-basic	honeypot-basic	communication-interface	Communication Interface	Describes the interfaces one can use to interact directly with the honeypot.
204	honeypot-basic	honeypot-basic	role	Role in Multi-tier Architecture	Describes in what role the honeypot acts within a multi-tier architecture.
205	tlp	tlp	red	(TLP:RED) Information exclusively and directly given to (a group of) individual recipients. Sharing outside is not legitimate.	Not for disclosure, restricted to participants only. Sources may use TLP:RED when information cannot be effectively acted upon by additional parties, and could lead to impacts on a party's privacy, reputation, or operations if misused. Recipients may not share TLP:RED information with any parties outside of the specific exchange, meeting, or conversation in which it was originally disclosed. In the context of a meeting, for example, TLP:RED information is limited to those present at the meeting. In most circumstances, TLP:RED should be exchanged verbally or in person.
206	tlp	tlp	amber	(TLP:AMBER) Information exclusively given to an organization; sharing limited within the organization to be effectively acted upon.	Limited disclosure, restricted to participants’ organizations. Sources may use TLP:AMBER when information requires support to be effectively acted upon, yet carries risks to privacy, reputation, or operations if shared outside of the organizations involved. Recipients may only share TLP:AMBER information with members of their own organization, and with clients or customers who need to know the information to protect themselves or prevent further harm. Sources are at liberty to specify additional intended limits of the sharing: these must be adhered to.
207	tlp	tlp	green	(TLP:GREEN) Information given to a community or a group of organizations at large. The information cannot be publicly released.	Limited disclosure, restricted to the community. Sources may use TLP:GREEN when information is useful for the awareness of all participating organizations as well as with peers within the broader community or sector. Recipients may share TLP:GREEN information with peers and partner organizations within their sector or community, but not via publicly accessible channels. Information in this category can be circulated widely within a particular community. TLP:GREEN information may not be released outside of the community.
208	tlp	tlp	white	(TLP:WHITE) Information can be shared publicly in accordance with the law.	Disclosure is not limited.  Sources may use TLP:WHITE when information carries minimal or no foreseeable risk of misuse, in accordance with applicable rules and procedures for public release. Subject to standard copyright rules, TLP:WHITE information may be distributed without restriction.
209	tlp	tlp	ex:chr	(TLP:EX:CHR) Information extended with a specific tag called Chatham House Rule (CHR). When this specific CHR tag is mentioned, the attribution (the source of information) must not be disclosed. This additional rule is at the discretion of the initial sender who can decide to apply or not the CHR tag.	
210	scrippsco2-fgi	scrippsco2-fgi	-3	accepted-suspect	Suspect but accepted isotopic measurement
211	scrippsco2-fgi	scrippsco2-fgi	0	accepted	Accepted isotopic measurement
212	scrippsco2-fgi	scrippsco2-fgi	3	rejected	Rejected
213	scrippsco2-fgi	scrippsco2-fgi	5	outlier	Outlier from fit
214	scrippsco2-fgi	scrippsco2-fgi	6	rejected-old-data	Other rejected, older data
215	scrippsco2-fgi	scrippsco2-fgi	8	extracted-not-analyzed	Flask extracted but not analyzed yet
216	scrippsco2-fgi	scrippsco2-fgi	9	not-extracted	Flask not extracted
217	osint	osint	source-type	Source Type	
218	osint	osint	lifetime	Lifetime of the information as Open Source Intelligence	
219	osint	osint	certainty	Certainty of the elements mentioned in this Open Source Intelligence	
220	copine-scale	copine-scale	level-10	Sadistic/bestiality: (a) Pictures showing a child being tied, bound, beaten, whipped, or otherwise subjected to something that implies pain; (b) Pictures where an animal is involved in some form of sexual behavior with a child	
221	copine-scale	copine-scale	level-9	Gross assault: Grossly obscene pictures of sexual assault, involving penetrative sex, masturbation, or oral sex involving an adult	
222	copine-scale	copine-scale	level-8	Assault: Pictures of children being subjected to a sexual assault, involving digital touching, involving an adult	
223	copine-scale	copine-scale	level-7	Explicit sexual activity: Involves touching, mutual and self-masturbation, oral sex, and intercourse by child, not involving an adult	
224	copine-scale	copine-scale	level-6	Explicit erotic posing: Emphasizing genital areas where the child is posing either naked, partially clothed, or fully clothed	
225	copine-scale	copine-scale	level-5	Erotic posing: Deliberately posed pictures of fully or partially clothed or naked children in sexualized or provocative poses	
226	copine-scale	copine-scale	level-4	Posing: Deliberately posed pictures of children fully or partially clothed or naked (where the amount, context, and organization suggests sexual interest)	
227	copine-scale	copine-scale	level-3	Erotica: Surreptitiously taken photographs of children in play areas or other safe environments showing either underwear or varying degrees of nakedness	
228	copine-scale	copine-scale	level-2	Nudist: Pictures of naked or seminaked children in appropriate nudist settings, and from legitimate sources	
229	copine-scale	copine-scale	level-1	Indicative: Nonerotic and nonsexualized pictures showing children in their underwear, swimming costumes, and so on, from either commercial sources or family albums; pictures of children playing in normal settings, in which the context or organization of pictures by the collector indicates inappropriateness	
230	misp	misp	ui	User-interface tag influencing the MISP behavior and visual interaction.	
231	misp	misp	api	API related tag influencing the MISP behavior of the API.	
232	misp	misp	expansion	Expansion	Expansion tag incluencing the MISP behavior using expansion modules
233	misp	misp	contributor	Information related to the contributor.	
234	misp	misp	confidence-level	Confidence level	
235	misp	misp	threat-level	Cyberthreat Effect Universal Scale - MISP's internal threat level taxonomy	
236	misp	misp	automation-level	Automation level	
237	misp	misp	should-not-sync	Should not sync	Event with this tag should not be synced to other MISP instances
238	misp	misp	tool	Tool	Tool associated with the information taggged
239	misp	misp	misp2yara	misp2yara export tool	
240	misp	misp	event-type	Type of the event.	
241	misp	misp	ids	IDS related tag unfluencing the MISP behavior of the IDS flag.	
242	cyber-threat-framework	cyber-threat-framework	Preparation	Activities undertaken by a threat actor, their leadership and/or sponsor to prepare for conducting malicious cyber activities, e.g., establish governance and articulating intent, objectives, and strategy; identify potential victims and attack vectors; securing resources and develop capabilities; assess intended victim's cyber environment; and define measures for evaluating the success or failure of threat activities.	
243	cyber-threat-framework	cyber-threat-framework	Engagement	Threat actor activities taken prior to gaining but with the intent to gain unauthorized access to the intended victim's physical or virtual computer or information system(s), network(s), and/or data stores.	
244	cyber-threat-framework	cyber-threat-framework	Presence	Actions taken by the threat actor once unauthorized access to victim(s)' physical or virtual computer or information system has been achieved that establishes and maintains conditions or allows the threat actor to perform intended actions or operate at will against the host physical or virtual computer or information system, network and/or data stores.	
245	cyber-threat-framework	cyber-threat-framework	Effect/Consequence	Outcomes of threat actor actions on a victim's physical or virtual computer or information system(s), network(s), and/or data stores.	
246	threats-to-dns	threats-to-dns	dns-protocol-attacks	DNS protocol attacks	DNS protocol attacks
247	threats-to-dns	threats-to-dns	dns-server-attacks	DNS server attacks	DNS server attacks
248	threats-to-dns	threats-to-dns	dns-abuse-or-misuse		DNS abuse/misuse
249	infoleak	infoleak	automatic-detection	Type of information leak detected from automatic analysis	
250	infoleak	infoleak	analyst-detection	Type of information leak detected from a human analysis	
251	infoleak	infoleak	confirmed	Confirmed information leak or not	
252	infoleak	infoleak	source	Source of the information leak	
253	infoleak	infoleak	submission	type of submission	
254	infoleak	infoleak	output-format	Output format	
255	infoleak	infoleak	certainty	Certainty of the information to be a leak	
256	csirt_case_classification	csirt_case_classification	incident-category	Incident Category	
257	csirt_case_classification	csirt_case_classification	criticality-classification	Criticality Classification	
258	csirt_case_classification	csirt_case_classification	sensitivity-classification	Sensitivity Classification	
259	malware_classification	malware_classification	malware-category	Malware Category	
260	malware_classification	malware_classification	obfuscation-technique	Obfuscation Technique	
261	malware_classification	malware_classification	payload-classification	Payload Classification	
262	malware_classification	malware_classification	memory-classification	Memory Classification	
263	ransomware	ransomware	type	Type	Type is used to describe the type of a ransomware and how it works.
264	ransomware	ransomware	element	Element	Elements that composed or are linked to a ransomware and its execution.
265	ransomware	ransomware	complexity-level	Complexity level	Level of complexity of the ransomware.
266	ransomware	ransomware	purpose	Purpose	Purpose of the ransomware.
267	ransomware	ransomware	target	Target	Target of the ransomware.
268	ransomware	ransomware	infection	Infection	Infection vector used by the ransomware.
269	ransomware	ransomware	communication	Communication	Communication method used by the ransomware;
270	ransomware	ransomware	malicious-action	Malicious Action	Malicious action performed by the ransomware.
271	extended-event	extended-event	competitive-analysis	Competitive analysis	
272	extended-event	extended-event	extended-analysis	Extended analysis	
273	extended-event	extended-event	human-readable	Human readable	This extended event makes a human readable output of a  machine or technical report.
274	extended-event	extended-event	chunked-event	Chunked Event	This extended event is a part of a large event.
275	extended-event	extended-event	update	Update	Original event is deprecated
276	maec-malware-behavior	maec-malware-behavior	maec-malware-behavior	MAEC Malware behavior	
277	gea-nz-activities	gea-nz-activities	cases-compliance	Cases Compliance	Information about an occurrence by a person or organisation that is under official investigation.
278	gea-nz-activities	gea-nz-activities	cases-proceeding	Cases Proceeding	Information about a case held by an organisation related to interpretation of the law.
279	gea-nz-activities	gea-nz-activities	cases-episode	Cases Episode	Information focused on individual’s interactions with an agency, organisation or enterprise, which is tacked as a sequence over a period of time.
280	gea-nz-activities	gea-nz-activities	cases-commission-of-inquiry	Cases Commission of Inquiry	Information relating to inquiries into various issues. Commissions report findings, give advice and make recommendations.
281	gea-nz-activities	gea-nz-activities	cases-claim	Cases Claim	Information about claims.
282	gea-nz-activities	gea-nz-activities	cases-request	Cases Request	Information about requests that need to be tracked.
283	gea-nz-activities	gea-nz-activities	cases-order	Cases Order	Information relating to orders and tracking of the orders.
284	gea-nz-activities	gea-nz-activities	events-personal	Events Personal	Information around personal events like birth, starting school, getting married, etc.
285	gea-nz-activities	gea-nz-activities	events-crisis	Events Crisis	Information about events that describe a personal crisis.
286	gea-nz-activities	gea-nz-activities	events-social	Events Social	Information relating to planned or spontaneous occurrences of a social nature that may require a response by an organisation.
287	gea-nz-activities	gea-nz-activities	events-business	Events Business	Information related to a type of event relating to the business of the organisation.
288	gea-nz-activities	gea-nz-activities	events-trade	Events Trade	Information about events that hold substantial meaning for an individual but which are tracked by an organisation such as birth, deaths, health condition etc.
289	gea-nz-activities	gea-nz-activities	events-travel	Events Travel	Information related to traveling overseas or coming into France.
290	gea-nz-activities	gea-nz-activities	events-environmental	Events Environmental	Information held by an organisation about environmental activities such as atmospheric pressures, geological formations, rainfall etc.
291	gea-nz-activities	gea-nz-activities	events-uncontrolled	Events Uncontrolled	Information about events that occur spontaneously, but to which the organisation is required to respond.
292	gea-nz-activities	gea-nz-activities	events-interaction	Events Interaction	Information about activity that describes a relevant process or action undertaken by the enterprise.
293	gea-nz-activities	gea-nz-activities	services-france-society	Services France Society	Information related to services delivered across France individuals, communities, and businesses.
294	gea-nz-activities	gea-nz-activities	services-inviduals-&-communities	Services Inviduals & Communities	Information related to services delivered specifically to France individuals and communities.
295	gea-nz-activities	gea-nz-activities	services-services-to-business	Services Services to Business	Information related to services delivered specifically to France businesses.
296	gea-nz-activities	gea-nz-activities	services-civic-infrastructure	Services Civic Infrastructure	Information related to services delivering France infrastructure.
297	gea-nz-activities	gea-nz-activities	services-government-administration	Services Government Infrastructure	Information related to delivering France government wide operations and support services.
298	gea-nz-activities	gea-nz-activities	services-services-from-business	Services Services from Business	Information related to services delivered by businesses.
299	enisa	enisa	physical-attack	Physical attack (deliberate/intentional).	Threats of intentional, hostile human actions.
300	enisa	enisa	unintentional-damage	Unintentional damage / loss of information or IT assets.	Threats of unintentional human actions or errors.
301	enisa	enisa	disaster	Disaster (natural, environmental).	Threats of damage to information assets caused by natural or environmental factors.
302	enisa	enisa	failures-malfunction	Failures/ Malfunction.	Threat of failure/malfunction of IT supporting infrastructure (i.e.  degradation of quality, improper working parameters, jamming).  The cause of a failure is mostly an internal issue (e.g.. overload of the power grid in a building).
303	enisa	enisa	outages	Outages.	Threat of complete lack or loss of resources necessary for IT infrastructure. The cause of an outage is mostly an external issue (i.e electricity blackout in the whole city).
304	enisa	enisa	eavesdropping-interception-hijacking	Eavesdropping/ Interception/ Hijacking	Threats that alter communication between two parties. These attacks do not have to install additional tools/software on a victim's site.
305	enisa	enisa	legal	Legal	Threat of financial or legal penalty or loss of trust of customers and collaborators due to legislation.
306	enisa	enisa	nefarious-activity-abuse	Nefarious Activity/ Abuse	Threats of nefarious activities that require use of tools by the attacker. These attacks require installation of additional tools/software or performing additional steps on the victim's IT infrastructure/software.
307	cssa	cssa	sharing-class	Sharing Class	
308	cssa	cssa	report	Report	
309	cssa	cssa	origin	Origin	
310	cssa	cssa	analyse	Please analyse sample	
311	dhs-ciip-sectors	dhs-ciip-sectors	DHS-critical-sectors	DHS critical sectors	
312	dhs-ciip-sectors	dhs-ciip-sectors	sector	Sector	
313	exercise	exercise	cyber-europe	Cyber Europe	ENISA manages the programme of pan-European exercises CE2018 logonamed Cyber Europe. This is a series of EU-level cyber incident and crisis management exercises for both the public and private sectors from the EU and EFTA Member States. The Cyber Europe exercises are simulations of large-scale cybersecurity incidents that escalate to become cyber crises. The exercises offer opportunities to analyse advanced technical cybersecurity incidents but also to deal with complex business continuity and crisis management situations.
314	exercise	exercise	cyber-storm	Cyber Storm	Cyber Storm, the Department of Homeland Security’s (DHS) biennial exercise series, provides the framework for the most extensive government-sponsored cybersecurity exercise of its kind. Congress mandated the Cyber Storm exercise series to strengthen cyber preparedness in the public and private sectors. Securing cyber space is the DHS Office of Cybersecurity and Communications' top priority.
315	exercise	exercise	locked-shields	Locked Shields	Locked Shields is the world’s largest and most advanced international technical live-fire cyber defence exercise. This annual scenario-based, real-time network defence exercise, which has been organised by the NATO Cooperative Cyber Defence Centre of Excellence since 2010, focuses on training for security experts who protect national IT systems.
316	exercise	exercise	lukex	LÜKEX	LÜKEX ist ein Kurzwort für Länderübergreifende Krisenmanagementübung (EXercise) und die Bezeichnung für regelmäßig stattfindende Übungen in der Bundesrepublik Deutschland. Ziel von Lükex ist es, das gemeinsame Management des Bundes und der Länder in nationalen Krisen aufgrund von außergewöhnlichen Gefahren- und Schadenslagen auf strategischer Ebene zu verbessern.
